dataset_id,treat_id,trials,Y_obs,Y_mis,treat
1,2,25124,435,435,Treatment
1,1,24876,408,448,Control
2,1,25071,432,466,Control
2,2,24929,446,423,Treatment
3,2,24924,410,417,Treatment
3,1,25076,441,443,Control
4,1,24833,439,369,Control
4,2,25167,476,411,Treatment
5,1,25093,419,438,Control
5,2,24907,434,413,Treatment
6,1,24985,428,413,Control
6,2,25015,402,433,Treatment
7,1,24887,443,436,Control
7,2,25113,440,476,Treatment
8,1,25039,467,414,Control
8,2,24961,415,409,Treatment
9,2,24963,451,452,Treatment
9,1,25037,429,441,Control
10,1,25075,449,450,Control
10,2,24925,423,452,Treatment
11,2,25115,454,444,Treatment
11,1,24885,448,380,Control
12,1,25157,462,432,Control
12,2,24843,438,425,Treatment
13,1,24967,432,439,Control
13,2,25033,418,403,Treatment
14,1,25021,475,393,Control
14,2,24979,393,479,Treatment
15,1,24981,406,410,Control
15,2,25019,468,451,Treatment
16,1,25112,451,437,Control
16,2,24888,402,419,Treatment
17,1,24780,487,458,Control
17,2,25220,458,429,Treatment
18,2,25046,425,468,Treatment
18,1,24954,451,408,Control
19,1,25111,413,434,Control
19,2,24889,462,410,Treatment
20,1,24863,463,421,Control
20,2,25137,445,477,Treatment
21,1,25067,429,433,Control
21,2,24933,485,475,Treatment
22,1,24975,465,436,Control
22,2,25025,426,448,Treatment
23,2,24860,416,426,Treatment
23,1,25140,436,415,Control
24,1,25018,391,464,Control
24,2,24982,409,413,Treatment
25,2,25046,443,467,Treatment
25,1,24954,427,420,Control
26,2,24949,449,464,Treatment
26,1,25051,453,375,Control
27,2,24934,412,413,Treatment
27,1,25066,429,461,Control
28,2,24962,408,466,Treatment
28,1,25038,493,435,Control
29,1,25057,418,404,Control
29,2,24943,423,429,Treatment
30,2,25218,424,447,Treatment
30,1,24782,457,449,Control
31,2,25015,413,424,Treatment
31,1,24985,447,454,Control
32,1,25019,449,403,Control
32,2,24981,434,409,Treatment
33,2,25011,439,447,Treatment
33,1,24989,447,439,Control
34,2,25018,440,435,Treatment
34,1,24982,483,436,Control
35,2,24932,430,423,Treatment
35,1,25068,398,433,Control
36,1,25101,433,434,Control
36,2,24899,478,401,Treatment
37,2,24985,413,447,Treatment
37,1,25015,468,440,Control
38,2,24912,415,419,Treatment
38,1,25088,442,430,Control
39,1,25165,455,414,Control
39,2,24835,418,423,Treatment
40,1,25106,416,432,Control
40,2,24894,398,410,Treatment
41,2,24961,426,431,Treatment
41,1,25039,442,420,Control
42,1,24900,447,442,Control
42,2,25100,420,441,Treatment
43,1,24991,431,448,Control
43,2,25009,424,435,Treatment
44,2,24797,456,443,Treatment
44,1,25203,419,458,Control
45,1,25060,416,456,Control
45,2,24940,413,457,Treatment
46,2,24873,405,445,Treatment
46,1,25127,432,456,Control
47,1,25058,425,413,Control
47,2,24942,391,442,Treatment
48,1,25119,437,469,Control
48,2,24881,461,443,Treatment
49,1,25018,454,460,Control
49,2,24982,446,401,Treatment
50,1,25098,437,453,Control
50,2,24902,430,387,Treatment
51,1,25041,478,439,Control
51,2,24959,451,425,Treatment
52,2,24849,428,448,Treatment
52,1,25151,448,456,Control
53,2,25101,435,431,Treatment
53,1,24899,481,452,Control
54,1,25066,421,403,Control
54,2,24934,451,436,Treatment
55,1,25067,389,454,Control
55,2,24933,469,436,Treatment
56,2,24899,453,452,Treatment
56,1,25101,470,437,Control
57,2,24836,433,449,Treatment
57,1,25164,401,452,Control
58,1,24978,426,453,Control
58,2,25022,439,416,Treatment
59,1,25128,442,438,Control
59,2,24872,429,428,Treatment
60,1,25017,397,427,Control
60,2,24983,397,435,Treatment
61,1,25029,428,435,Control
61,2,24971,430,471,Treatment
62,1,25037,457,455,Control
62,2,24963,439,429,Treatment
63,2,24798,454,462,Treatment
63,1,25202,461,459,Control
64,1,25134,459,476,Control
64,2,24866,420,473,Treatment
65,2,24922,439,441,Treatment
65,1,25078,447,427,Control
66,2,24907,454,429,Treatment
66,1,25093,413,420,Control
67,1,24967,421,425,Control
67,2,25033,416,490,Treatment
68,2,25004,451,451,Treatment
68,1,24996,432,466,Control
69,1,25021,430,468,Control
69,2,24979,464,435,Treatment
70,2,25099,426,458,Treatment
70,1,24901,428,440,Control
71,2,25046,463,466,Treatment
71,1,24954,457,429,Control
72,1,25103,426,450,Control
72,2,24897,442,434,Treatment
73,1,24862,449,423,Control
73,2,25138,455,471,Treatment
74,1,24872,457,411,Control
74,2,25128,441,458,Treatment
75,1,24942,437,447,Control
75,2,25058,426,459,Treatment
76,1,25054,409,431,Control
76,2,24946,433,481,Treatment
77,2,25064,449,459,Treatment
77,1,24936,464,443,Control
78,2,24739,431,417,Treatment
78,1,25261,462,429,Control
79,1,24990,447,478,Control
79,2,25010,408,462,Treatment
80,2,24971,456,452,Treatment
80,1,25029,418,452,Control
81,1,25011,455,396,Control
81,2,24989,438,490,Treatment
82,1,25065,451,432,Control
82,2,24935,458,471,Treatment
83,1,24990,388,427,Control
83,2,25010,451,492,Treatment
84,2,25093,428,419,Treatment
84,1,24907,443,471,Control
85,2,24953,448,404,Treatment
85,1,25047,446,448,Control
86,2,25078,434,443,Treatment
86,1,24922,400,410,Control
87,1,24779,449,414,Control
87,2,25221,457,390,Treatment
88,1,24929,424,458,Control
88,2,25071,461,465,Treatment
89,1,24972,476,415,Control
89,2,25028,397,433,Treatment
90,1,25109,456,468,Control
90,2,24891,420,454,Treatment
91,1,24974,420,407,Control
91,2,25026,436,443,Treatment
92,2,24784,420,425,Treatment
92,1,25216,466,463,Control
93,2,24820,457,446,Treatment
93,1,25180,441,449,Control
94,2,25074,409,427,Treatment
94,1,24926,434,464,Control
95,2,24909,405,426,Treatment
95,1,25091,434,448,Control
96,1,24920,433,436,Control
96,2,25080,443,440,Treatment
97,1,24903,436,458,Control
97,2,25097,436,447,Treatment
98,1,24994,450,441,Control
98,2,25006,461,433,Treatment
99,1,25134,457,443,Control
99,2,24866,422,469,Treatment
100,2,25063,440,435,Treatment
100,1,24937,432,430,Control
101,1,24983,415,485,Control
101,2,25017,450,441,Treatment
102,1,24759,451,430,Control
102,2,25241,483,449,Treatment
103,1,24967,427,405,Control
103,2,25033,427,449,Treatment
104,1,25021,472,438,Control
104,2,24979,436,424,Treatment
105,2,24842,437,480,Treatment
105,1,25158,457,436,Control
106,1,25181,445,467,Control
106,2,24819,449,397,Treatment
107,2,24909,415,411,Treatment
107,1,25091,403,460,Control
108,2,25179,418,427,Treatment
108,1,24821,426,421,Control
109,1,25022,383,458,Control
109,2,24978,446,456,Treatment
110,1,24887,442,463,Control
110,2,25113,435,405,Treatment
111,2,25087,440,465,Treatment
111,1,24913,472,425,Control
112,1,25121,454,431,Control
112,2,24879,428,451,Treatment
113,1,25038,452,457,Control
113,2,24962,448,433,Treatment
114,1,25003,454,440,Control
114,2,24997,417,472,Treatment
115,2,25068,454,451,Treatment
115,1,24932,415,461,Control
116,1,25118,440,416,Control
116,2,24882,462,410,Treatment
117,1,24986,453,414,Control
117,2,25014,430,444,Treatment
118,1,24834,421,419,Control
118,2,25166,420,433,Treatment
119,1,25000,390,431,Control
119,2,25000,452,473,Treatment
120,1,24981,445,414,Control
120,2,25019,449,449,Treatment
121,2,24884,457,446,Treatment
121,1,25116,416,435,Control
122,2,24926,421,424,Treatment
122,1,25074,446,426,Control
123,2,24937,398,465,Treatment
123,1,25063,429,411,Control
124,1,25074,451,419,Control
124,2,24926,408,439,Treatment
125,1,25146,426,447,Control
125,2,24854,445,459,Treatment
126,1,24956,389,437,Control
126,2,25044,434,406,Treatment
127,2,25209,410,441,Treatment
127,1,24791,454,457,Control
128,1,24978,406,425,Control
128,2,25022,448,479,Treatment
129,1,25075,447,421,Control
129,2,24925,426,445,Treatment
130,1,25018,436,446,Control
130,2,24982,450,412,Treatment
131,1,25033,432,439,Control
131,2,24967,431,430,Treatment
132,1,25253,436,435,Control
132,2,24747,426,440,Treatment
133,1,24869,447,400,Control
133,2,25131,426,418,Treatment
134,2,24803,450,422,Treatment
134,1,25197,445,420,Control
135,2,24950,447,443,Treatment
135,1,25050,419,414,Control
136,2,24740,452,410,Treatment
136,1,25260,471,465,Control
137,1,25084,429,418,Control
137,2,24916,425,432,Treatment
138,2,24841,457,439,Treatment
138,1,25159,420,450,Control
139,1,25077,445,434,Control
139,2,24923,394,480,Treatment
140,2,24901,422,430,Treatment
140,1,25099,427,452,Control
141,1,25151,452,441,Control
141,2,24849,488,445,Treatment
142,1,25129,427,459,Control
142,2,24871,450,454,Treatment
143,2,24948,477,479,Treatment
143,1,25052,465,428,Control
144,2,25050,437,429,Treatment
144,1,24950,432,433,Control
145,1,24961,436,468,Control
145,2,25039,446,423,Treatment
146,2,25186,425,462,Treatment
146,1,24814,464,467,Control
147,2,24975,438,454,Treatment
147,1,25025,459,472,Control
148,2,24968,413,441,Treatment
148,1,25032,417,447,Control
149,1,24966,412,397,Control
149,2,25034,427,452,Treatment
150,2,24984,429,460,Treatment
150,1,25016,428,425,Control
151,1,24957,427,467,Control
151,2,25043,463,434,Treatment
152,2,25001,475,458,Treatment
152,1,24999,469,413,Control
153,1,25137,463,463,Control
153,2,24863,429,408,Treatment
154,2,25116,441,431,Treatment
154,1,24884,427,438,Control
155,1,24682,440,461,Control
155,2,25318,439,415,Treatment
156,2,24763,418,431,Treatment
156,1,25237,443,454,Control
157,2,24989,435,455,Treatment
157,1,25011,429,424,Control
158,2,24992,423,438,Treatment
158,1,25008,447,445,Control
