dataset_id,control_prob,treat_prob
1,0.271,0.729
2,0.297625,0.702375
3,0.785375,0.214625
4,0.192625,0.807375
5,0.31525,0.68475
6,0.78325,0.21675
7,0.5905,0.4095
8,0.924,0.076
9,0.262125,0.737875
10,0.753125,0.246875
11,0.472875,0.527125
12,0.693125,0.306875
13,0.661875,0.338125
14,0.986,0.014
15,0.040875,0.959125
16,0.8985,0.1015
17,0.828125,0.171875
18,0.792875,0.207125
19,0.079875,0.920125
20,0.732,0.268
21,0.056625,0.943375
22,0.861125,0.138875
23,0.66925,0.33075
24,0.303125,0.696875
25,0.342625,0.657375
26,0.51325,0.48675
27,0.650875,0.349125
28,0.9895,0.0105
29,0.413125,0.586875
30,0.8595,0.1405
31,0.823625,0.176375
32,0.64575,0.35425
33,0.604625,0.395375
34,0.864375,0.135625
35,0.166875,0.833125
36,0.100125,0.899875
37,0.930625,0.069375
38,0.75225,0.24775
39,0.8205,0.1795
40,0.6485,0.3515
41,0.671875,0.328125
42,0.808,0.192
43,0.591375,0.408625
44,0.116625,0.883375
45,0.496875,0.503125
46,0.73925,0.26075
47,0.826625,0.173375
48,0.217125,0.782875
49,0.5935,0.4065
50,0.536625,0.463375
51,0.756625,0.243375
52,0.6515,0.3485
53,0.903375,0.096625
54,0.18275,0.81725
55,0.0095,0.9905
56,0.637,0.363
57,0.15,0.85
58,0.382875,0.617125
59,0.595875,0.404125
60,0.5095,0.4905
61,0.472375,0.527625
62,0.683875,0.316125
63,0.51025,0.48975
64,0.83225,0.16775
65,0.5535,0.4465
66,0.12175,0.87825
67,0.56775,0.43225
68,0.300375,0.699625
69,0.178375,0.821625
70,0.564,0.436
71,0.44775,0.55225
72,0.28875,0.71125
73,0.5,0.5
74,0.70275,0.29725
75,0.640125,0.359875
76,0.247875,0.752125
77,0.688,0.312
78,0.73275,0.26725
79,0.863375,0.136625
80,0.135,0.865
81,0.655,0.345
82,0.408125,0.591875
83,0.03925,0.96075
84,0.683375,0.316625
85,0.474625,0.525375
86,0.184,0.816
87,0.509375,0.490625
88,0.161375,0.838625
89,0.985625,0.014375
90,0.829875,0.170125
91,0.33175,0.66825
92,0.852875,0.147125
93,0.261875,0.738125
94,0.787875,0.212125
95,0.758125,0.241875
96,0.429875,0.570125
97,0.538625,0.461375
98,0.404125,0.595875
99,0.7975,0.2025
100,0.440125,0.559875
101,0.1825,0.8175
102,0.26725,0.73275
103,0.50625,0.49375
104,0.81875,0.18125
105,0.6585,0.3415
106,0.390875,0.609125
107,0.34075,0.65925
108,0.671125,0.328875
109,0.04075,0.95925
110,0.629,0.371
111,0.836,0.164
112,0.719,0.281
113,0.536125,0.463875
114,0.849,0.151
115,0.154375,0.845625
116,0.236875,0.763125
117,0.74275,0.25725
118,0.584375,0.415625
119,0.043875,0.956125
120,0.4635,0.5365
121,0.10025,0.89975
122,0.742375,0.257625
123,0.798375,0.201625
124,0.87175,0.12825
125,0.249625,0.750375
126,0.107,0.893
127,0.930375,0.069625
128,0.115,0.885
129,0.70625,0.29375
130,0.33475,0.66525
131,0.48825,0.51175
132,0.519125,0.480875
133,0.780125,0.219875
134,0.3775,0.6225
135,0.216125,0.783875
136,0.594375,0.405625
137,0.512625,0.487375
138,0.11875,0.88125
139,0.91875,0.08125
140,0.52025,0.47975
141,0.118,0.882
142,0.214125,0.785875
143,0.345,0.655
144,0.48625,0.51375
145,0.436,0.564
146,0.900875,0.099125
147,0.705875,0.294125
148,0.52175,0.47825
149,0.336375,0.663625
150,0.46875,0.53125
151,0.161625,0.838375
152,0.429125,0.570875
153,0.777125,0.222875
154,0.3925,0.6075
155,0.646375,0.353625
156,0.686,0.314
157,0.4265,0.5735
158,0.74225,0.25775
159,0.254125,0.745875
160,0.46875,0.53125
161,0.424625,0.575375
162,0.903375,0.096625
163,0.653625,0.346375
164,0.1085,0.8915
165,0.39,0.61
166,0.479625,0.520375
167,0.46675,0.53325
168,0.613125,0.386875
169,0.0455,0.9545
170,0.952625,0.047375
171,0.80375,0.19625
172,0.439875,0.560125
173,0.135375,0.864625
174,0.524625,0.475375
175,0.313375,0.686625
176,0.853875,0.146125
177,0.70325,0.29675
178,0.500625,0.499375
179,0.086,0.914
180,0.850125,0.149875
181,0.692,0.308
182,0.898125,0.101875
183,0.620375,0.379625
184,0.19125,0.80875
185,0.8435,0.1565
186,0.6905,0.3095
187,0.09075,0.90925
188,0.9375,0.0625
189,0.433,0.567
190,0.32175,0.67825
191,0.785,0.215
192,0.607,0.393
193,0.097375,0.902625
194,0.6095,0.3905
195,0.183375,0.816625
196,0.683375,0.316625
197,0.4545,0.5455
198,0.88325,0.11675
199,0.751875,0.248125
200,0.608625,0.391375
201,0.252875,0.747125
202,0.551375,0.448625
203,0.240625,0.759375
204,0.605,0.395
205,0.0605,0.9395
206,0.29075,0.70925
207,0.68075,0.31925
208,0.918375,0.081625
209,0.32125,0.67875
210,0.652875,0.347125
211,0.1825,0.8175
212,0.112625,0.887375
213,0.76875,0.23125
214,0.320625,0.679375
215,0.263125,0.736875
